星期一1-2节 A101 概率论与数理统计B 1-18周
星期一3-4节 A333 网络空间安全导论 15周
星期一5-6节 B113 大学物理A2 1-18周
星期二1-2节 B122 网络空间安全导论 1-14周,16-18周
星期二5-6节 A112 毛泽东思想和中国特色社会主义理论体系概论 2-18周(双)
星期三1-2节 A112 概率论与数理统计B 1-17周(单)
星期三1-2节 A201 数据结构C 2-18周(双)
星期三3-4节 A108 电工与电子技术 1-18周
星期三5-6节 未排地点 大学体育Ⅲ模块 1-18周
星期四3-4节 A716 大学英语CIII 1-18周
星期四5-6节 B113 大学物理A2 1-17周(单)
星期四7-8节 A120 毛泽东思想和中国特色社会主义理论体系概论 1-18周
星期四9-11节 未排地点 大学物理实验AII 1-17周(单)
星期五1-2节 A244 数据结构C 1-18周
星期五3-4节 A337 电工与电子技术 1-18周
